Date,Clicks,Impressions,CTR,Position
2025-01-31,2,32,6.25%,8.88
2025-01-30,1,40,2.5%,8.18
2025-01-29,0,31,0%,14.39
2025-01-28,1,40,2.5%,14.7
2025-01-27,1,49,2.04%,10.27
2025-01-26,1,30,3.33%,15.73
2025-01-25,1,23,4.35%,12.83
2025-01-24,0,39,0%,17.49
2025-01-23,2,48,4.17%,12.1
2025-01-22,1,48,2.08%,11.46
2025-01-21,0,41,0%,12.73
2025-01-20,1,54,1.85%,11.85
2025-01-19,0,36,0%,12.67
2025-01-18,0,25,0%,14.16
2025-01-17,1,44,2.27%,10.7
2025-01-16,1,52,1.92%,8.67
2025-01-15,1,44,2.27%,10.55
2025-01-14,1,46,2.17%,12.93
2025-01-13,2,43,4.65%,12.02
2025-01-12,2,36,5.56%,13.83
2025-01-11,0,29,0%,10.48
2025-01-10,2,42,4.76%,11.52
2025-01-09,1,43,2.33%,10.44
2025-01-08,1,59,1.69%,12.2
2025-01-07,2,44,4.55%,12.14
2025-01-06,2,47,4.26%,8.6
2025-01-05,0,45,0%,13.11
2025-01-04,0,24,0%,19.21
2025-01-03,0,45,0%,13.42
2025-01-02,0,37,0%,13.05
2025-01-01,0,29,0%,13.79
2024-12-31,0,28,0%,16.11
2024-12-30,3,41,7.32%,12.95
2024-12-29,2,37,5.41%,10.54
2024-12-28,2,29,6.9%,11.59
2024-12-27,0,34,0%,14.88
2024-12-26,1,46,2.17%,12.24
2024-12-25,2,34,5.88%,14.97
2024-12-24,0,21,0%,18.76
2024-12-23,0,36,0%,10.25
2024-12-22,1,34,2.94%,10.26
2024-12-21,0,29,0%,16.38
2024-12-20,1,32,3.12%,11.66
2024-12-19,2,57,3.51%,10.82
2024-12-18,0,28,0%,20.64
2024-12-17,1,43,2.33%,14.16
2024-12-16,0,41,0%,15.93
2024-12-15,1,31,3.23%,17.68
2024-12-14,0,25,0%,14.4
2024-12-13,0,32,0%,11.5
2024-12-12,0,36,0%,14.67
2024-12-11,0,39,0%,12.62
2024-12-10,2,41,4.88%,10.88
2024-12-09,0,33,0%,11.33
2024-12-08,0,27,0%,10.56
2024-12-07,0,23,0%,18.35
2024-12-06,0,31,0%,11.16
2024-12-05,0,43,0%,17.51
2024-12-04,1,41,2.44%,13.93
2024-12-03,0,45,0%,11.84
2024-12-02,0,46,0%,8.98
2024-12-01,2,31,6.45%,11.19
2024-11-30,1,24,4.17%,16.88
2024-11-29,0,24,0%,9.17
2024-11-28,0,21,0%,11.14
2024-11-27,0,32,0%,10.94
2024-11-26,1,40,2.5%,11.4
2024-11-25,0,55,0%,11.36
2024-11-24,0,32,0%,15.84
2024-11-23,0,28,0%,13.39
2024-11-22,1,37,2.7%,14.89
2024-11-21,0,41,0%,10.34
2024-11-20,0,44,0%,10.57
2024-11-19,0,40,0%,17.02
2024-11-18,0,52,0%,12.5
2024-11-17,0,39,0%,15.21
2024-11-16,0,25,0%,14.44
2024-11-15,1,34,2.94%,14.56
2024-11-14,0,42,0%,10.45
2024-11-13,1,38,2.63%,12.68
2024-11-12,0,34,0%,16.41
2024-11-11,1,40,2.5%,12.8
2024-11-10,3,43,6.98%,10.93
2024-11-09,0,26,0%,11.42
2024-11-08,1,31,3.23%,13.35
2024-11-07,1,41,2.44%,9.98
2024-11-06,1,44,2.27%,8.59
2024-11-05,3,48,6.25%,13.33
2024-11-04,1,39,2.56%,10.51
2024-11-03,1,28,3.57%,14.68
2024-11-02,1,19,5.26%,16.47
2024-11-01,0,27,0%,14.52
2024-10-31,1,34,2.94%,12.18
2024-10-30,0,45,0%,13.13
2024-10-29,1,53,1.89%,11.57
2024-10-28,0,51,0%,11.69
2024-10-27,0,53,0%,12.04
2024-10-26,2,60,3.33%,12.38
2024-10-25,0,123,0%,13.22
2024-10-24,1,79,1.27%,10.89
2024-10-23,1,39,2.56%,11.9
2024-10-22,0,36,0%,14.22
2024-10-21,1,48,2.08%,8.75
2024-10-20,0,44,0%,10.86
2024-10-19,0,20,0%,10.2
2024-10-18,1,29,3.45%,13.55
2024-10-17,2,40,5%,17.35
2024-10-16,0,47,0%,10.15
2024-10-15,1,48,2.08%,11.44
2024-10-14,0,48,0%,9.85
2024-10-13,0,39,0%,10.9
2024-10-12,0,27,0%,9.19
2024-10-11,0,38,0%,11.53
2024-10-10,0,43,0%,11.47
2024-10-09,0,51,0%,14.69
2024-10-08,1,38,2.63%,14.79
2024-10-07,0,31,0%,15.06
2024-10-06,0,32,0%,14.34
2024-10-05,0,17,0%,14.88
2024-10-04,1,24,4.17%,10.42
2024-10-03,0,39,0%,16.31
2024-10-02,0,35,0%,13.94
2024-10-01,1,32,3.12%,9.5
2024-09-30,0,43,0%,10.93
2024-09-29,0,26,0%,26.46
2024-09-28,0,23,0%,13.96
2024-09-27,1,30,3.33%,16.67
2024-09-26,0,30,0%,18.17
2024-09-25,1,36,2.78%,15.11
2024-09-24,0,28,0%,16.57
2024-09-23,1,50,2%,10.72
2024-09-22,1,35,2.86%,11.14
2024-09-21,1,22,4.55%,25.23
2024-09-20,0,33,0%,14.79
2024-09-19,2,50,4%,11.84
2024-09-18,0,46,0%,16.37
2024-09-17,1,43,2.33%,11.77
2024-09-16,3,50,6%,14.6
2024-09-15,2,32,6.25%,9.59
2024-09-14,1,23,4.35%,15.65
2024-09-13,1,37,2.7%,14.78
2024-09-12,1,37,2.7%,11.62
2024-09-11,2,41,4.88%,11.22
